Indonesia,Abui
adik,kokda
air,ya
apa,nala
ayam,ruwol
bagaimana,wil
bambu,bale
banyak,faring
belakang,ui
beras,sieng
berat,tihai
besar,"fok, foka"
bodoh,mahapang
bulan,a
celana,deki
cepat,abik
dada,kodang
darah,wea
dingin,"palaakni, palaata"
dunia,buku
duri,aloba
gatal,yokung
gila,lielra
gunung,abui
hutan,kupai
ikan,afu
ini,do
jatuh,kaai
jauh,buoka
kaki,toku
kambing,kafiei
kecil,"amek, amet, minaka"
kenyang,"fika, fikda, fikdi"
kepala,fui
kerbau,karfai
kuning,meakilai
lalat,fufai
lama,makiila
langit,adi
laut,tama
makan,nee
malam,"tuntama, tuntamadi"
membaca,lakdi
mengamuk,aken
minum,"buuk, buut"
pergi,"lak, yaar"
perut,atei
retak,"kasingra, pok"
sama,wi
sedikit,kabei
sudah,wan
takut,mielang
terbang,li
tikar,adik
tongkat,tikonrek
uang,seng
yang,ba
